id,name,type,description,aliases,first_seen_chapter,first_seen_act,occurrence_count,chapter_number,act_number
item_116,咕咕河豚,Item,在遗址中出现的生物,,第2章,第6幕,1,,
chapter_117,第2章《第二章》第6幕《圣者，忤逆者，告死者》,Chapter,第二章 - 圣者，忤逆者，告死者,,,,1,2,6
character_118,赞妮,Character,银行员工,,第2章,第3幕,2,,
character_119,诺亚,Character,声骸船,,第2章,第3幕,1,,
character_120,守门人,Character,埃弗拉德金库的守门人,,第2章,第3幕,1,,
location_121,埃弗拉德金库,Location,金库地点,,第2章,第3幕,2,,
event_122,声骸失控事件,Event,在狂欢节预演上发生的事件,,第2章,第3幕,1,,
organization_123,莫塔里家族,Organization,家族组织,,第2章,第3幕,3,,
character_124,珂莱塔·莫塔里,Character,莫塔里家族的次女,珂莱塔,第2章,第3幕,1,,
organization_125,翡萨烈家族,Organization,家族组织,,第2章,第3幕,1,,
organization_126,隐海修会,Organization,组织,,第2章,第3幕,1,,
organization_127,残星会,Organization,组织,,第2章,第3幕,7,,
character_128,激动的造匠,Character,残星会成员,,第2章,第3幕,1,,
character_129,混乱的造匠,Character,残星会成员,,第2章,第3幕,1,,
item_130,珠宝套装,Item,珂莱塔要求赞妮准备的物品,,第2章,第3幕,1,,
item_131,香水,Item,珂莱塔要求赞妮准备的物品,,第2章,第3幕,1,,
location_132,化妆间,Location,地点,,第2章,第3幕,1,,
character_133,科波拉先生,Character,珂莱塔的叔父，负责狂欢节相关事务,,第2章,第3幕,1,,
chapter_134,第2章《第二章》第3幕《夜与昼，均请摘下面纱》,Chapter,第二章 - 夜与昼，均请摘下面纱,,,,1,2,3
location_135,祈池村,Location,故事发生的村庄,,第1章,第3幕,2,,
item_136,残破的木牌,Item,特殊仪式使用的木牌,,第1章,第3幕,1,,
character_137,奇怪的残象,Character,发出求救信号的残象,,第1章,第3幕,1,,
organization_138,炽霞,Organization,秧秧要同步告知的组织,,第1章,第3幕,1,,
organization_139,造匠,Organization,残星会中的边缘成员,,第1章,第3幕,1,,
organization_140,会监,Organization,残星会的领导者,,第1章,第3幕,1,,
character_141,伤痕,Character,残星会会监之一，残忍变态的疯子,,第1章,第3幕,3,,
chapter_142,第1章《第一章》第3幕《奔策候残星》,Chapter,第一章 - 奔策候残星,,,,1,1,3
character_143,守岸人,Character,与主角通讯并提供信息的角色,,第2章,第1幕,3,,
location_144,泰缇斯,Location,存在底层空间和记录的地方,,第2章,第1幕,1,,
location_145,黎那汐塔,Location,以声骸技术闻名的地方，被称为声骸之国,,第2章,第1幕,4,,
character_146,英白拉多,Character,黎那汐塔岁主的名字,,第2章,第1幕,1,,
character_147,库默尼,Character,在黑海岸负责财务的角色,,第2章,第1幕,1,,
organization_148,埃弗拉德银行,Organization,莫塔里家族准备的启动资金可以在此提取,,第2章,第1幕,1,,
item_149,附带香气的神秘邀请函,Item,莫塔里家族发出的邀请函,,第2章,第1幕,1,,
chapter_150,第2章《第二章》第1幕《如一叶小舟穿行于茫茫海洋》,Chapter,第二章 - 如一叶小舟穿行于茫茫海洋,,,,1,2,1
character_151,布兰特,Character,提到了朋友、情报收集和梦境情况的角色,,第2章,第13幕,2,,
location_152,玛格烈特餐厅,Location,阿布想要去饱餐一顿的地方,,第2章,第13幕,1,,
item_153,文明之匣,Item,岁主留下的重要底层数据封存的匣子,,第2章,第13幕,1,,
character_154,泰缇斯,Character,提到了打不开文明之匣的角色,,第2章,第13幕,1,,
item_155,利维亚坦,Item,打开文明之匣需要借助的力量,,第2章,第13幕,2,,
character_156,黑海岸,Character,提到了拉古那周围海域异常的角色,,第2章,第13幕,1,,
character_157,洛可可,Character,提到了愚人剧团和梦境情况的角色,,第2章,第13幕,2,,
organization_158,愚人剧团,Organization,洛可可和布兰特所属的剧团,,第2章,第13幕,1,,
character_159,克里斯托弗,Character,在幻境中出现，讨论命运的角色,,第2章,第13幕,1,,
item_160,噩梦清醒仪,Item,洛可可提到用来唤醒漂泊者的物品,,第2章,第13幕,1,,
item_161,石碑,Item,上面刻有关于「璀璨擢升之途」和「至福永恒之城」的铭文,,第2章,第13幕,1,,
organization_162,苦信者集群,Organization,在神秘空间中提到的集体,,第2章,第13幕,1,,
location_163,风暴海,Location,提到残象变得更加活跃的地方,,第2章,第13幕,1,,
chapter_164,第2章《第二章》第13幕《已逝的必将归来》,Chapter,第二章 - 已逝的必将归来,,,,1,2,13
entity_165,璀璨擢升之途,Entity,,,,,1,,
entity_166,至福永恒之城,Entity,,,,,1,,
entity_167,代行者,Entity,,,,,1,,
location_168,荒石高地,Location,故事中提到的地点，与残星会有关联,,第1章,第4幕,1,,
character_169,造匠,Character,残星会通过机械改造人类以获取共鸣能力的人,,第1章,第4幕,1,,
item_170,日晷,Item,故事中的关键物品，包含令尹想要传递的信息,,第1章,第4幕,1,,
item_171,瑝珑类书,Item,故事中提到的数据库，包含重要数据资料,,第1章,第4幕,1,,
chapter_172,第1章《第一章》第4幕《庭际刀刃鸣》,Chapter,第一章 - 庭际刀刃鸣,,,,1,1,4
character_173,九思,Character,与阿布和漂泊者交谈的角色,,第1章,第9幕,1,,
character_174,庆祥,Character,与九思和漂泊者交谈的角色,,第1章,第9幕,1,,
location_175,美食街,Location,阿布和漂泊者讨论去吃饭的地方,,第1章,第9幕,1,,
location_176,乘霄山,Location,今州先民的祖地，岁主最近一次现身的地方,龙形的山,第1章,第9幕,3,,
location_177,怨鸟泽,Location,乘霄山在怨鸟泽东面的海上,,第1章,第9幕,1,,
location_178,渡口,Location,引路人可能在的地方,,第1章,第9幕,1,,
chapter_179,第1章《第一章》第9幕《往岁乘霄醒惊蛰》,Chapter,第一章 - 往岁乘霄醒惊蛰,,,,1,1,9
entity_180,引路人,Entity,,,,,1,,
character_181,转播布莱恩,Character,转播员,,第2章,第9幕,1,,
location_182,烈日酒馆,Location,赛事转播的地方,,第2章,第9幕,1,,
organization_183,磕磕撞撞,Organization,连胜二十一场的年轻外来战队,,第2章,第9幕,1,,
organization_184,伏尔甘矿业,Organization,七丘本土的老牌商业战队,,第2章,第9幕,1,,
character_185,黑海岸成员,Character,与漂泊者通讯的角色,,第2章,第9幕,1,,
location_186,颠倒塔,Location,适合卡提希娅休养的地方,,第2章,第9幕,1,,
item_187,英白拉多,Item,与索诺拉的形成有关的物品,,第2章,第9幕,1,,
item_188,鸣式利维亚坦,Item,卡提希娅感应到的残留力量,,第2章,第9幕,1,,
character_189,蜜芽,Character,与卡提希娅对峙过的角色,,第2章,第9幕,1,,
character_190,芬莱克,Character,与漂泊者对话的角色，提到残星会,,第2章,第9幕,1,,
character_191,弗洛洛,Character,与漂泊者对话，提到海底宝藏的角色,,第2章,第9幕,1,,
character_192,修会追兵,Character,追捕漂泊者和弗洛洛的角色,,第2章,第9幕,1,,
location_193,隐海试验场,Location,修会的地方,,第2章,第9幕,1,,
chapter_194,第2章《第二章》第9幕《捕梦于神秘园中》,Chapter,第二章 - 捕梦于神秘园中,,,,1,2,9
entity_195,赛事转播台,Entity,,,,,1,,
entity_196,码头,Entity,,,,,1,,
location_197,攀花饭馆,Location,炽霞和秧秧与漂泊者见面的地方,,第1章,第2幕,1,,
location_198,华胥研究院,Location,白芷所在的地方，炽霞提到漂泊者可能是数据样本来源之一,,第1章,第2幕,1,,
location_199,市集,Location,炽霞提到有莽吉柿出售的地方,,第1章,第2幕,1,,
location_200,训练营,Location,夜归军用于备战训练的地方，炽霞和秧秧讨论的地方,,第1章,第2幕,1,,
character_201,严彦,Character,训练营的教官，负责训练夜归新兵,,第1章,第2幕,1,,
character_202,今令尹,Character,给漂泊者通行权限的角色,,第1章,第2幕,2,,
character_203,忌炎将军,Character,在北落野带领兵士的角色,,第1章,第2幕,2,,
character_204,小道士,Character,想要出城寻人的角色，自称小道,鉴心,第1章,第2幕,1,,
item_205,锅盔,Item,小道士拥有的物品之一,,第1章,第2幕,1,,
item_206,贝币,Item,小道士拥有的货币,,第1章,第2幕,1,,
item_207,云纹离邪镜,Item,小道士拥有的物品之一,,第1章,第2幕,1,,
chapter_208,第1章《第一章》第2幕《撞金止行阵》,Chapter,第一章 - 撞金止行阵,,,,1,1,2
character_209,佩洛,Character,箱子的主人，照顾了洛可可,,第2章,第4幕,1,,
character_210,古龙,Character,袭击漂泊者的龙，从未离开过领地,叹息古龙,第2章,第4幕,1,,
character_211,珂莱塔小姐,Character,安排成员去接应漂泊者,,第2章,第4幕,1,,
location_212,悲叹墓岛,Location,昔日的朝圣地，因灾难变为悲叹墓岛,,第2章,第4幕,1,,
location_213,海雾,Location,危险区域，有收集残响的本能,,第2章,第4幕,1,,
location_214,灯塔,Location,海雾中唯一安全的区域,,第2章,第4幕,1,,
item_215,源能礼花枪,Item,可以把残象一枪轰飞的道具,,第2章,第4幕,1,,
item_216,大口径改良型源能礼花枪,Item,源能礼花枪的加强版,,第2章,第4幕,1,,
item_217,剧团长砍价刀,Item,洛可可提供的另一种道具,,第2章,第4幕,1,,
organization_218,修会,Organization,使用悲叹墓岛作为朝圣地的组织,,第2章,第4幕,1,,
organization_219,剧团,Organization,布兰特是团长，成员们担心布兰特未归,,第2章,第4幕,1,,
chapter_220,第2章《第二章》第4幕《昔我悲伤，今却歌唱》,Chapter,第二章 - 昔我悲伤，今却歌唱,,,,1,2,4
character_221,丽露,Character,关心千咲状况的角色,,第2章,第18幕,2,,
character_222,瓦莲京娜,Character,提供信息的角色,,第2章,第18幕,2,,
organization_223,泰缇斯系统,Organization,监测穗波市的系统,,第2章,第18幕,2,,
character_224,执花澄夏,Character,失踪的黑海岸成员,,第2章,第18幕,1,,
character_225,库休休,Character,与千咲有互动的角色,,第2章,第18幕,1,,
location_226,新枝地,Location,泰缇斯终端所在的地方,,第2章,第18幕,1,,
organization_227,谬误收容所,Organization,执花澄夏所属的组织,,第2章,第18幕,1,,
organization_228,星图,Organization,铭记执花澄夏的组织,,第2章,第18幕,1,,
character_229,洄游鱼,Character,展示穗波市景象的角色,,第2章,第18幕,1,,
location_230,列车长咖啡厅,Location,千咲和漂泊者休息的地方,,第2章,第18幕,2,,
chapter_231,第2章《第二章》第18幕《星光流转于眼眸之间》,Chapter,第二章 - 星光流转于眼眸之间,,,,1,2,18
entity_232,泰缇斯终端,Entity,,,,,1,,
character_233,利维亚坦,Character,造成精神腐化的角色,,第2章,第14幕,1,,
character_234,嘉贝莉娜,Character,提供信息和建议的角色,,第2章,第14幕,1,,
organization_235,翡萨烈,Organization,与鸣式抗衡百年的组织,,第2章,第14幕,1,,
item_236,黑潮,Item,与利维亚坦相关的现象,,第2章,第14幕,1,,
item_237,秘药,Item,坎特蕾拉调配的药物，能抑制利维亚坦的精神腐化,,第2章,第14幕,1,,
character_238,鸣式,Character,与翡萨烈抗衡百年的角色,,第2章,第14幕,3,,
event_239,巡游天国,Event,利维亚坦计划中的事件,,第2章,第14幕,1,,
character_240,剧作家,Character,在黎那汐塔引发戏剧冲突的角色,,第2章,第14幕,1,,
chapter_241,第2章《第二章》第14幕《暗潮将映的黎明》,Chapter,第二章 - 暗潮将映的黎明,,,,1,2,14
location_242,谬误收容所,Location,守岸人所在的地方,,第2章,第17幕,1,,
character_243,卜灵,Character,与漂泊者交谈的角色，感知到异常频率,,第2章,第17幕,1,,
character_244,阿德里安,Character,提及沉没城市的角色,,第2章,第17幕,1,,
organization_245,执花,Organization,尝试进入索诺拉调查的组织成员,,第2章,第17幕,1,,
chapter_246,第2章《第二章》第17幕《曙光停摆于荒地之上》,Chapter,第二章 - 曙光停摆于荒地之上,,,,1,2,17
entity_247,上班族,Entity,,,,,1,,
character_248,波仔,Character,帮助校准坐标的角色,,第3章,第1幕,1,,
event_249,虚质磁暴,Event,拉海洛的一种海蚀现象,,第3章,第1幕,1,,
organization_250,深空联合,Organization,国际性科研组织，对稳定频率的研究处于世界前列,,第3章,第1幕,1,,
character_251,虚诞虫,Character,追击漂泊者和琳奈的未知角色,,第3章,第1幕,1,,
chapter_252,第3章《第三章》第1幕《未知的既感》,Chapter,第三章 - 未知的既感,,,,1,3,1
organization_253,黑海岸,Organization,关注主角的组织，研究悲鸣,,第1章,第5幕,2,,
character_254,林奶奶,Character,盆景店的店主，对花卉有见地,林素,第1章,第5幕,1,,
character_255,说书人,Character,讲述“弯刀之役”历史的角色,,第1章,第5幕,1,,
item_256,黑花,Item,黑海岸成员佩戴的物品，用于寻找线索,,第1章,第5幕,2,,
location_257,商业街,Location,林奶奶经营盆景店的地方,,第1章,第5幕,1,,
location_258,后山,Location,今州城后的一个地点，进行生态调研的地方,,第1章,第5幕,1,,
location_259,瀑布,Location,通往后山的捷径，位于今州城广场后,,第1章,第5幕,1,,
character_260,植物系共鸣者,Character,通晓植物的角色，可能知道黑花的信息,小星星花,第1章,第5幕,1,,
chapter_261,第1章《第一章》第5幕《欲知天将雨》,Chapter,第一章 - 欲知天将雨,,,,1,1,5
location_262,列奥尼达酒店,Location,阿布和漂泊者对话的地点,,第2章,第11幕,1,,
character_263,德米安,Character,总督宫侍从,,第2章,第11幕,1,,
location_264,总督宫,Location,德米安工作的地点，奥古斯塔所在的地方,,第2章,第11幕,2,,
item_265,亚狮诺索,Item,荣耀狮像,,第2章,第11幕,2,,
location_266,桑古伊斯狩原,Location,七丘人对抗黑潮的前沿,,第2章,第11幕,2,,
location_267,彻地之楔,Location,岁主英白拉多在桑古伊斯狩原的降临地,,第2章,第11幕,1,,
location_268,风潮崖,Location,奥古斯塔与漂泊者约定的地点,,第2章,第11幕,1,,
character_269,阿维狄亚,Character,角斗士，带领漂泊者前往风潮崖,,第2章,第11幕,1,,
chapter_270,第2章《第二章》第11幕《灼我以烈阳》,Chapter,第二章 - 灼我以烈阳,,,,1,2,11
character_271,露帕,Character,英武的守护者、女武神，与漂泊者搭档,,第2章,第8幕,2,,
character_272,亚狮诺索,Character,英武的守护者、女武神，声骸之一,,第2章,第8幕,1,,
location_273,荣耀之间,Location,英雄们被埋葬的地方,,第2章,第8幕,1,,
item_274,特库斯的剑,Item,属于特库斯的剑，受到黑潮的污染,,第2章,第8幕,1,,
character_275,特库斯,Character,数百年前拉古那爆发黑潮时的总督之子，抵御黑潮的领头人,,第2章,第8幕,1,,
character_276,蜜芽选手,Character,已故的角斗士，露帕提到的角色,,第2章,第8幕,1,,
character_277,岁主英白拉多,Character,与七丘起源信标相关的角色,,第2章,第8幕,1,,
chapter_278,第2章《第二章》第8幕《燃烧的心》,Chapter,第二章 - 燃烧的心,,,,1,2,8
location_279,拉古那城,Location,故事发生的城市,,第2章,第15幕,1,,
location_280,拉古那广场,Location,拉古那城的一个地点,,第2章,第15幕,1,,
character_281,桂冠,Character,参与战斗的角色,,第2章,第15幕,1,,
character_282,漆黑的猎人,Character,击败劲敌的角色,,第2章,第15幕,1,,
character_283,仇远,Character,故事中的一个角色,,第2章,第15幕,1,,
character_284,接引教士,Character,教堂的教士,,第2章,第15幕,1,,
character_285,利奥,Character,故事中的一个角色,,第2章,第15幕,1,,
character_286,菲比,Character,教堂里的民众,,第2章,第15幕,2,,
character_287,莫塔里家的珂莱塔,Character,故事中的一个角色,珂莱塔,第2章,第15幕,1,,
organization_288,瑝珑,Organization,故事中的一个组织,,第2章,第15幕,2,,
location_289,水星天教堂,Location,平民撤离的地点,,第2章,第15幕,1,,
character_290,托卡塔,Character,故事中的一个角色,,第2章,第15幕,1,,
character_291,梁先生,Character,明庭要员之一,,第2章,第15幕,1,,
organization_292,明庭,Organization,故事中的一个组织,,第2章,第15幕,1,,
character_293,谛天鉴,Character,专司岁主事务的角色,,第2章,第15幕,1,,
character_294,主座芬莱克,Character,掌握始源圣器的角色,芬莱克,第2章,第15幕,1,,
item_295,拉古那始源圣器,Item,主座芬莱克掌握的物品,,第2章,第15幕,1,,
location_296,狄萨莱海脊,Location,芬莱克秘密修建的试验场所在地,,第2章,第15幕,1,,
entity_297,利维亚坦,Entity,与黑潮相关的存在,,第2章,第15幕,1,,
chapter_298,第2章《第二章》第15幕《独在异乡为异客》,Chapter,第二章 - 独在异乡为异客,,,,1,2,15
character_299,伊什麦尔,Character,介绍黎那汐塔传统和钓鱼技巧的角色,,第2章,第5幕,1,,
location_300,黎乔利群岛,Location,风暴海寒暖洋流交汇的地方，鱼群集中地,,第2章,第5幕,1,,
character_301,亚哈,Character,老船长，与码头是老相识,,第2章,第5幕,1,,
character_302,普朗克,Character,章鱼商人，提供出海捕鱼所需物品和修葺船只服务,,第2章,第5幕,1,,
item_303,拉结号,Item,亚哈的老船，用于出海捕鱼,,第2章,第5幕,1,,
character_304,科芬,Character,水产商人，对修会持负面态度,,第2章,第5幕,1,,
character_305,魁格,Character,修船工，亚哈提到的角色,,第2章,第5幕,1,,
character_306,斯塔巴克斯,Character,脑子不太灵光的人，据说是因为见过溯海之鲸,,第2章,第5幕,1,,
